nom,dates,lieu,prix_min, prix_max
70000 TONS OF METAL 2026,"January 29- February 2, 2026","Miami &amp; Nassau, Bahamas","969 USD, 4 599 USD"
HOSPITALITY WEEKENDER 2026,"January 30- February 2, 2026","Bognor Regis, UK","160 GBP, 200 GBP"
THE ROCK BOAT 2026,"January 29- February 5, 2026","Puerto Plata, Dominican Republic","1 949 USD, 4 449 USD"
ZMOGSALA BEERFEST 2026,"February 7,  2026","Vilnius, Lithuania","N/A, N/A"
GEM AND JAM 2026,"February 6- 8, 2026","Tucson, AZ","229 USD, 699 USD"
GRAUZONE FESTIVAL 2026,"February 6- 8, 2026","The Hague, Netherlands","25 EUR, 145 EUR"
PARTY IN THE PADDOCK 2026,"February 5- 8, 2026","Tasmania, Australia","189 AUD, 449 AUD"
UP THE CREEK 2026,"February 5- 8, 2026","Cape Town, South Africa","ZAR750, ZAR1570"
JAM CRUISE 2026,"February 7- 12, 2026","Miami, Belize, and Cozumel, Mexico","799 USD, 5 999 USD"
BAHIDORÁ FESTIVAL 2026,"February 13- 15, 2026","Morelos, Mexico","250 BRL, 1 000 BRL"
COSQUIN ROCK 2026,"February 14- 15, 2026","Cordoba, Argentina","50 000 ARS, 250 000 ARS"
KARNAVAL FESTIVAL 2026,"February 14- 15, 2026","Tilburg, Netherlands","1500 CZK, 2900 CZK"
MIDWINTER BLUEGRASS FESTIVAL 2026,"February 13- 15, 2026","Northglenn, CO","120 USD, 130 USD"
ULTRA BUENOS AIRES 2026,"February 14- 15, 2026","Buenos Aires, Argentina","18 000 ARS, 120 000 ARS"
LET IT ROLL WINTER 2026,"February 20- 21, 2026","Prague, Czech","95 EUR, 250 EUR"
WINTERGRASS FESTIVAL 2026,"February 19- 22, 2026","Bellevue, WA","50 USD, 300 USD"
EMO’S NOT DEAD 2026,"January 22- February 26, 2026","Nassau, Bahamas","65 USD, 180 USD"
ELECTRIC AVENUE FESTIVAL 2026,"February 27- 28, 2026","Christchurch, New Zealand","199 GBP, 259 GBP"
LDB FEST 2026,"February 27- 28, 2026","Jefferson, KY","160 USD, 225 USD"
SNOWBEAT FESTIVAL 2026,"February 28,  2026","Wittenburg, Germany","159 EUR, 329 EUR"
ELEVATE FESTIVAL 2026,"February 25- March 1, 2026","Graz, Austria","N/A, N/A"
WINTERWONDERGRASS COLORADO 2026,"February 27- March 1, 2026","Steamboat Springs, CO","199 USD, 399 USD"
ENVISION FESTIVAL 2026,"February 23- March 2, 2026","Uvita, Costa Rica","349 USD, 899 USD"
DON’T LET DADDY KNOW AMSTERDAM 2026,"March 7,  2026","Amsterdam, Netherlands","95 EUR, 175 EUR"
ISLE OF LIGHT 2026,"March 7,  2026","Santo Domingo Este, Dominican Republic","150 EUR, 250 EUR"
BAZIQUE FESTIVAL 2026,"March 6- 8, 2026","Riviersonderend, South Africa","750 ZAR, 1 950 ZAR"
NEW COLOSSUS FESTIVAL 2026,"March 3- 8, 2026","New York City, NY","29,99 GBP, 69,99 GBP"
CRUISE TO THE EDGE 2026,"March 4- 9, 2026","Miami &amp; Puerto Plata, DR","1 899 USD, 4 799 USD"
PORT FAIRY FOLK FESTIVAL 2026,"March 6- 9, 2026","Port Fairy, Australia","320 AUD, 595 AUD"
WOMADELAIDE 2026,"March 6- 9, 2026","Adelaide, Australia","240 AUD, 620 AUD"
COUNTRY 2 COUNTRY (C2C) 2026,"March 13- 15, 2026","London, UK","79 EUR, 750 EUR"
COUNTRY 2 COUNTRY (C2C) BELFAST 2026,"March 13- 15, 2026","Belfast, UK","88 GBP, 340 GBP"
COUNTRY 2 COUNTRY (C2C) GLASGOW 2026,"March 13- 15, 2026","London, UK","87 GBP, 980 GBP"
GROUNDUP MUSIC FESTIVAL 2026,"March 13- 15, 2026","Miami Beach, FL","199 USD, 699 USD"
LOLLAPALOOZA ARGENTINA 2026,"March 13- 15, 2026","Buenos Aires, Argentina","25 000 ARS, 90 000 ARS"
REGGAE RISE UP FLORIDA 2026,"March 12- 15, 2026","St. Petersburg, FL","200 USD, 350 USD"
SOUTH BY SOUTHWEST (SXSW) 2026,"March 10- 15, 2026","Austin, TX","495 USD, 1 795 USD"
SOUTHPORT WEEKENDER FESTIVAL 2026,"March 13- 15, 2026","Bognor Regis, UK","250 GBP, 500 GBP"
TRIBAL GATHERING 2026,"February 27- March 16, 2026","Playa Chiquita, Panama","189 GBP, 249 GBP"
CAYAMO 2026,"March 13- 20, 2026","Miami &amp; St. Johns, Antigua","475 USD, 9 995 USD"
OUTLAWS AND LEGENDS 2026,"March 20- 21, 2026","Abilene, TX","139 USD, 649 USD"
SNOWBOXX 2026,"March 14- 21, 2026","Avoriaz, France","299 EUR, 799 EUR"
CMC ROCKS QLD 2026,"March 20- 22, 2026","Willowbank, Australia","169 AUD, 799 AUD"
OKEECHOBEE MUSIC FESTIVAL 2026,"March 19- 22, 2026","Okeechobee, FL","330 USD, 360 USD"
SHAPES FESTIVAL LEYSIN 2026,"March 15- 22, 2026","Leysin, Switzerland","249 CHF, 549 CHF"
SUWANNEE SPRING REUNION 2026,"March 19- 22, 2026","Live Oak, FL","180 USD, 320 USD"
OUTLAW COUNTRY CRUISE 2026,"March 20- 25, 2026","Miami &amp; Nassau, Bahamas","1 399 USD, 6 599 USD"
BEYOND WONDERLAND 2026,"March 27- 28, 2026","San Bernardino, CA","119.99 USD, 399.99 USD"
TOMORROWLAND WINTER 2026,"March 21- 28, 2026","Alpe d'Huez, France","375 EUR, 1 395 EUR"
WILD WEST BREWFEST KATY 2026,"March 26- 28, 2026","Houston, TX","25 USD, 120 USD"
BIG EARS 2026,"March 26- 29, 2026","Knoxville, TN","95 USD, 500 USD"
TREEFORT MUSIC FESTIVAL 2026,"March 25- 29, 2026","Boise, ID","180 USD, 385 USD"
ULTRA MUSIC FESTIVAL MIAMI 2026,"March 27- 29, 2026","Miami, FL","400 USD, 600 USD"
CHILIFEST 2026,"April 3- 4, 2026","Snook, TX","150 USD, 350 USD"
NORTH PARK FESTIVAL OF BEERS 2026,"April 4,  2026","San Diego, CA","55 USD, 60 USD"
BAJA BEER FESTIVAL 2026,"April 5,  2026","Tucson, AZ","500 MXN, 1 500 MXN"
BYRON BAY BLUESFEST 2026,"April 2- 5, 2026","Byron Bay, Australia","199 AUD, 795 AUD"
DGTL FESTIVAL AMSTERDAM 2026,"April 3- 5, 2026","Amsterdam, Netherlands","105 EUR, 225 EUR"
EQUATION FESTIVAL 2026,"April 3- 5, 2026","Hoa Binh, Vietnam","80 USD, 220 USD"
INFERNO METAL FESTIVAL 2026,"April 2- 5, 2026","Oslo, Norway","1 600 NOK, 2 900 NOK"
PAASPOP 2026,"April 3- 5, 2026","Schijndel, Netherlands","99 EUR, 229 EUR"
TALLINN MUSIC WEEK 2026,"April 3- 6, 2026","Tallinn, Estonia","35 EUR, 150 EUR"
LITTLE STEVEN’S UNDERGROUND GARAGE CRUISE 2026,"April 3- 7, 2026","Miami &amp; Nassau, Bahamas","1 499 USD, 7 499 USD"
SNOWBOMBING 2026,"April 11,  2026","Mayrhofen, Austria","280 GBP, 700 GBP"
ZERMATT UNPLUGGED 2026,"April 7- 11, 2026","Zermatt, Switzerland","85 CHF, 850 CHF"
COUNTRY THUNDER ARIZONA 2026,"April 9- 12, 2026","Florence, AZ","199 USD, 600 USD"
DALLAS REGGAE FESTIVAL 2026,"April 11- 12, 2026","Dallas, TX","55 USD, 150 USD"
DURANGO BLUEGRASS MELTDOWN 2026,"April 10- 12, 2026","Durango, CO","139 USD, 279 USD"
REWIRE FESTIVAL 2026,"April 9- 12, 2026","The Hague, Netherlands","46 EUR, 166 EUR"
TAMPA BAY BLUES FESTIVAL 2026,"April 10- 12, 2026","St. Petersburg, FL","190 USD, 525 USD"
VIVA LAS VEGAS ROCKABILLY WEEKEND 2026,"April 9- 12, 2026","Las Vegas, NV","189 USD, 649 USD"
MONSTERS OF ROCK CRUISE 2026,"April 12- 17, 2026","Great Stirrup Cay, The Bahamas","1 999 USD, 8 999 USD"
ELECTRIC MOUNTAIN FESTIVAL 2026,"April 13- 18, 2026","Sölden, Austria","179 EUR, 219 EUR"
MOTEL MOZAIQUE 2026,"April 16- 18, 2026","Rotterdam, The Netherlands","27 EUR, 135 EUR"
BLUEBIRD MUSIC FESTIVAL 2026,"April 18- 19, 2026","Boulder, CO","79 USD, 229 USD"
C/O POP FESTIVAL 2026,"April 15- 19, 2026","Cologne, Germany","39 EUR, 119 EUR"
COACHELLA MUSIC FESTIVAL 2026,"April 10- 19, 2026","Indio, CA","499 USD, 1 269 USD"
FRENCH QUARTER FEST 2026,"April 16- 19, 2026","New Orleans, LA","N/A Gratuit, N/A Gratuit"
OLD SETTLER’S MUSIC FESTIVAL 2026,"April 17- 19, 2026","Dale, TX","45 USD, 250 USD"
REGGAE RISE UP ARIZONA 2026,"April 17- 19, 2026","Phoenix, AZ","245 USD, 325 USD"
ROADBURN FESTIVAL 2026,"April 17- 19, 2026","Tilburg, Netherlands","275 EUR, 295 EUR"
TERMINAL V FESTIVAL 2026,"April 18- 19, 2026","Edinburgh, Scotland","92 GBP, 230 GBP"
SUMMER OF ’99 CRUISE 2026,"April 17- 21, 2026","Miami &amp; Nassau, Bahamas","949 USD, 3,749 USD"
BAJAWONDERGRASS 2026,"April 23- 25, 2026","El Sargento, Baja California Sur","USD299 USD, USD1,499 USD"
BRICK LANE JAZZ FESTIVAL 2026,"April 24- 26, 2026","London, UK","20 GBP, 120 GBP"
MERLEFEST 2026,"April 23- 26, 2026","Wilkesboro, NC","50 USD, 300 USD"
SEABREEZE JAZZ FESTIVAL 2026,"April 22- 26, 2026","Panama City Beach, FL","159 USD, 1 500 USD"
STAGECOACH COUNTRY MUSIC FESTIVAL 2026,"April 24- 26, 2026","Indio, CA","429 USD, 1 499 USD"
MAYDAY FESTIVAL DORTMUND 2026,"April 30,  2026","Dortmund, Germany","69 EUR, 139 EUR"
CALGARY INTERNATIONAL BEERFEST 2026,"May 1- 2, 2026","Calgary, AB","20 CAD, 100 CAD"
AFRIKABURN 2026,"April 27- May 3, 2026","Bloemfontein, South Africa","N/A, N/A"
BEACHLIFE FESTIVAL 2026,"May 1- 3, 2026","Redondo Beach, CA","159 USD, 1695 USD"
KEY WEST SONGWRITERS FESTIVAL 2026,"April 29- May 3, 2026","Key West, FL","N/A, N/A"
LAND BEYOND FESTIVAL 2026,"May 1- 3, 2026","Brighton, UK","249 EUR, 549 EUR"
LIVERPOOL SOUND CITY 2026,"May 2- 3, 2026","Liverpool, UK","35 GBP, 120 GBP"
NEW ORLEANS JAZZ FESTIVAL 2026,"April 23- May 3, 2026","New Orleans, LA","95 USD, 9500 USD"
PAVILION FESTIVAL 2026,"May 2- 3, 2026","Ayr, UK","55 GBP, 198 GBP"
RIVERBEAT FEST 2026,"May 1- 3, 2026","Memphis, TN","130 GBP, 160 GBP"
TEDDY ROCKS 2026,"May 1- 3, 2026","Blandford, UK","GBP45, GBP140"
FOCUS WALES 2026,"May 7- 9, 2026","Wrexham, Wales","30 GBP, 120 GBP"
VIVA EL GONZO 2026,"May 7- 9, 2026","San José del Cabo, BCS, Mexico","25 EUR, 45 EUR"
AUSTIN PSYCH FEST 2026,"May 8- 10, 2026","Austin, TX","N/A, N/A"
RONG OPEN AIR MALTA 2026,"May 7- 10, 2026","Attard, Malta","N/A, N/A"
WELCOME TO ROCKVILLE 2026,"May 7- 10, 2026","Daytona Beach, FL","179.99 USD, 1249.99 USD"
SMOKESLAM FESTIVAL 2026,"May 14- 16, 2026","Memphis, TN","40 USD, 150 USD"
THE GREAT ESCAPE FESTIVAL 2026,"May 13- 16, 2026","Brighton, UK","85 GBP, 220 GBP"
AWAKENINGS UPCLOSE 2026,"May 16- 17, 2026","Spaarnwoude, Netherlands","95 EUR, 175 EUR"
DESERTFEST LONDON 2026,"May 15- 17, 2026","London, UK","85 GBP, 200 GBP"
EDC LAS VEGAS 2026,"May 15- 17, 2026","Las Vegas, NV","389 USD, 1 499 USD"
JOSHUA TREE FESTIVAL SPRING 2026,"May 14- 17, 2026","Joshua Tree, CA","220 USD, 550 USD"
KILBY BLOCK PARTY 2026,"May 15- 17, 2026","Salt Lake City, UT","115 USD, 350 USD"
SONIC TEMPLE FESTIVAL 2026,"May 14- 17, 2026","Columbus, OH","179.99 USD, 1199.99 USD"
SUNNY SIDE FESTIVAL 2026,"May 15- 17, 2026","Attard, Malta","50 EUR, 70 EUR"
THE GOLDEN ROAD GATHERING 2026,"May 15- 17, 2026","Placerville, CA","279 USD, 999 USD"
TICO TIME BLUEGRASS FESTIVAL 2026,"May 15- 17, 2026","Aztec, NM","89 USD, 279 USD"
A STONE’S THROW FESTIVAL 2026,"May 23,  2026","North Shields, UK","49 GBP, 169 GBP"
FIELD DAY FESTIVAL 2026,"May 23,  2026","London, UK","85 GBP, 185 GBP"
7TH SUNDAY FESTIVAL 2026,"May 24,  2026","Erp, Netherlands","64,50 EUR, 174,50 EUR"
BOTTLEROCK NAPA VALLEY 2026,"May 22- 24, 2026","Napa, CA","189 USD, 649 USD"
CALIFORNIA ROOTS 2026,"May 22- 24, 2026","Monterey, CA","189 USD, 499 USD"
CERCLE FESTIVAL 2026,"May 22- 24, 2026","Paris, France","60 EUR, 160 EUR"
CROSS THE TRACKS 2026,"May 24,  2026","London, UK","55 GBP, 82 GBP"
DELFEST 2026,"May 21- 24, 2026","Cumberland, MD","159 USD, 475 USD"
DOT TO DOT UK 2026,"May 23- 24, 2026","Bristol/Nottingham, UK","25 GBP, 60 GBP"
EXTREMA OUTDOOR BELGIUM 2026,"May 22- 24, 2026","Houthalen-Helchteren, Belgium","74 EUR, 199 EUR"
IN IT TOGETHER FESTIVAL 2026,"May 22- 24, 2026","Port Talbot, Wales","185 GBP, 575 GBP"
LIGHTNING IN A BOTTLE 2026,"May 20- 24, 2026","Bakersfield, CA","429 USD, 1 899 USD"
MARVELLOUS ISLAND FESTIVAL 2026,"May 23- 24, 2026","Paris, France","49 EUR, 139 EUR"
MARYLAND DEATHFEST 2026,"May 21- 24, 2026","Baltimore, MD","89 USD, 359 USD"
PAPILLONS DE NUIT 2026,"May 22- 24, 2026","Saint-Laurent-de-Cuves, France","39 EUR, 145 EUR"
PATRIOTIC FESTIVAL 2026,"May 22- 24, 2026","Norfolk, VA","39 USD, 299 USD"
ROOSTER WALK 2026,"May 21- 24, 2026","Axton, VA","150 USD, 450 USD"
SHINDIG FESTIVAL 2026,"May 21- 24, 2026","Malmesbury, UK","165 GBP, 210 GBP"
SUEÑOS FESTIVAL 2026,"May 23- 24, 2026","Chicago, IL","299 USD, 1 999 USD"
SUMMER CAMP MUSIC FESTIVAL 2026,"May 22- 24, 2026","Chillicothe, IL","239 USD, 699 USD"
CITY SPLASH 2026,"May 25,  2026","London, UK","99 USD, 249 USD"
IKARUS FESTIVAL 2026,"May 22- 25, 2026","Memmingerberg, Germany","150 EUR, 200 EUR"
MOVEMENT DETROIT 2026,"May 23- 25, 2026","Detroit, MI","199 USD, 349 USD"
RED ROOSTER 2026,"May 28- 30, 2026","Suffolk, UK","GBP235, GBP285"
CALL OF THE WILD 2026,"May 28- 31, 2026","Lincoln, UK","120 GBP, 220 GBP"
GULF COAST JAM 2026,"May 28- 31, 2026","Panama City Beach, FL","199 USD, 1699 USD"
MICHAEL ARNONE’S CRAWFISH FEST 2026,"May 29- 31, 2026","Augusta, NJ","60 USD, 275 USD"
MIGHTY HOOPLA 2026,"May 30- 31, 2026","London, UK","59.50 GBP, 99 GBP"
NAMELESS FESTIVAL 2026,"May 30- 31, 2026","Lake Como, Italy","99 EUR, 229 EUR"
PROJECT GLOW 2026,"May 30- 31, 2026","Washington, DC","109 USD, 399 USD"
RISE AND VIBES MUSIC FESTIVAL 2026,"May 29- 31, 2026","Aztec, New Mexico","49.99 USD, 199.99 USD"
THE GREAT ESTATE FESTIVAL 2026,"May 29- 31, 2026","Redruth, UK","120 GBP, 245 GBP"
TRIIP FESTIVAL 2026,"May 29- 31, 2026","Bugibba, Malta","229 EUR, 229 EUR"
VESTROCK 2026,"May 29- 31, 2026","Hulst, Netherlands","72,50 EUR, 197,50 EUR"
WYCHWOOD FESTIVAL 2026,"May 29- 31, 2026","Cheltenham, UK","42 GBP, 155 GBP"
DOCKLANDS FESTIVAL 2026,"June 6,  2026","Munster, Germany","49,99 EUR, 79,99 EUR"
ELBJAZZ 2026,"June 5- 6, 2026","Hamburg, Germany","33 EUR, 170 EUR"
FORCE FIELDS 2026,"June 5- 6, 2026","Cadott, WI","80 EUR, 120 EUR"
MOUNTAIN MUSIC FESTIVAL 2026,"June 5- 6, 2026","New River Gorge, WV","50 USD, 120 USD"
MYSTIC FESTIVAL 2026,"June 3- 6, 2026","Gdańsk, Poland","369 PLN, 1 299 PLN"
NORTHSIDE FESTIVAL DENMARK 2026,"June 12- 6, 2026","Aarhus, Denmark","1 695 DKK, 2 495 DKK"
PRIMAVERA SOUND BARCELONA 2026,"June 4- 6, 2026","Barcelona, Spain","85 EUR, 325 EUR"
SBÄM FEST 2026,"June 5- 6, 2026","Wels, Austria","99 EUR, 189 EUR"
SWEDEN ROCK FESTIVAL 2026,"June 3- 6, 2026","Solvesborg, Sweden","3 798 SEK, 4 298 SEK"
TEXAS MUSIC REVOLUTION 2026,"June 5- 6, 2026","McKinney, TX","45 USD, 150 USD"
AMSTERDAM OPEN AIR 2026,"June 6- 7, 2026","Amsterdam, Netherlands","64,50 EUR, 189,50 EUR"
CAPITAL JAZZ FESTIVAL 2026,"June 5- 7, 2026","Columbia, MD","69 USD, 425 USD"
CAROLINA COUNTRY MUSIC FESTIVAL 2026,"June 4- 7, 2026","Myrtle Beach, SC","269 USD, 2 299 USD"
CMA MUSIC FESTIVAL 2026,"June 4- 7, 2026","Nashville, TN","40 USD, 1 500 USD"
COPENHAGEN DISTORTION FESTIVAL 2026,"June 3- 7, 2026","Copenhagen, Denmark","850 DKK, 1 750 DKK"
DLT MALTA 2026,"June 4- 7, 2026","St Paul's Bay, Malta","99 EUR, 449 EUR"
FORBIDDEN FOREST 2026,"June 4- 7, 2026","Grantham, UK","99 GBP, 199 GBP"
INTENTS FESTIVAL 2026,"June 5- 7, 2026","Oisterwijk, Netherlands","95 EUR, 250 EUR"
ROCK AM RING 2026,"June 5- 7, 2026","Nürburg, Germany","268 EUR, 328 EUR"
ROCK IM PARK 2026,"June 5- 7, 2026","Nuremberg, Germany","268 EUR, 318 EUR"
TAURON NOWA MUZYKA 2026,"June 4- 7, 2026","Katowice, Poland","329 PLN, 449 PLN"
TUNES IN THE DUNES 2026,"June 5- 7, 2026","Perranporth, UK","39 GBP, 165 GBP"
WORLD CLUB DOME 2026,"June 5- 7, 2026","Frankfurt, Germany","69 EUR, 249 EUR"
SPRING BREAK ISLAND 2026,"June 4- 8, 2026","Pag Island, Croatia","89 EUR, 249 EUR"
SUPA DUPA FLY SANTORINI 2026,"June 5- 9, 2026","Santorini, Greece","250 EUR, 450 EUR"
KALA FESTIVAL 2026,"June 3- 10, 2026","Dhërmi, Albania","169 EUR, 449 EUR"
BERGENFEST 2026,"June 10- 13, 2026","Bergen, Norway","1 650 NOK, 2 950 NOK"
GREENFIELD FESTIVAL 2026,"June 11- 13, 2026","Interlaken, Switzerland","199 CHF, 289 CHF"
KICKN’ UP KOUNTRY 2026,"June 10- 13, 2026","Karlstad, MN","129 USD, 179 USD"
PIKNIK I PARKEN (PIP) 2026,"June 11- 13, 2026","Oslo, Norway","1190 NOK, 2490 NOK"
PRIMAVERA SOUND PORTO 2026,"June 11- 13, 2026","Porto, Portugal","70 EUR, 255 EUR"
ROCK FOR PEOPLE 2026,"June 11- 13, 2026","Hradec Kralove, Czech","159 EUR, 229 EUR"
ADRIATIC SOUND FESTIVAL 2026,"June 12- 14, 2026","Fano, Italy","N/A, N/A"
BEST KEPT SECRET FESTIVAL 2026,"June 12- 14, 2026","Hilvarenbeek, Netherlands","99 EUR, 235 EUR"
BEYOND THE PALE FESTIVAL 2026,"June 12- 14, 2026","Glendalough Estate, Ireland","179 EUR, 299 EUR"
DOWNLOAD FESTIVAL 2026,"June 10- 14, 2026","Donington Park, UK","95 GBP, 350 GBP"
INTO THE GRAVE 2026,"June 12- 14, 2026","Leeuwarden, Netherlands","89 CHF, 109 CHF"
KESARAUHA FESTIVAL 2026,"June 12- 14, 2026","Turku, Finland","125 EUR, 195 EUR"
MALLORCA LIVE FESTIVAL 2026,"June 11- 14, 2026","Calvià, Spain","59 EUR, 170 EUR"
NOVA ROCK 2026,"June 11- 14, 2026","Nickelsdorf, Austria","199,99 EUR, 234,99 EUR"
ROSENDAL GARDEN PARTY 2026,"June 12- 14, 2026","Stockholm, Sweden","1 495 SEK, 3 995 SEK"
SUNDOWN ALASKA 2026,"June 12- 14, 2026","Anchorage, AK","179 USD, 549 USD"
THE EDEN FESTIVAL 2026,"June 11- 14, 2026","Moffat, Scotland","185 GBP, 230 GBP"
WARPED TOUR D.C. 2026,"June 13- 14, 2026","Washington, DC","N/A, N/A"
ANJUNADEEP EXPLORATIONS 2026,"June 11- 16, 2026","Dhermi, Albania","189 EUR, 449 EUR"
HEARTLAND FESTIVAL 2026,"June 18- 20, 2026","Kværndrup, Denmark","2 995 DKK, 6 995 DKK"
HOLLAND BLUES FESTIVAL 2026,"June 19- 20, 2026","Grolloo, Netherlands","45 EUR, 130 EUR"
JULIANAPOP 2026,"June 20,  2026","Julianadorp, Netherlands","45 EUR, 125 EUR"
OVEROSLO 2026,"June 17- 20, 2026","Oslo, Norway","1 090 NOK, 1 790 NOK"
PLAYTHINK FESTIVAL 2026,"June 17- 20, 2026","Edmonton, KY","N/A, N/A"
SONAR BARCELONA 2026,"June 19- 20, 2026","Barcelona, Spain","80 EUR, 300 EUR"
THE COUNTRY FEST 2026,"June 17- 20, 2026","North Lawrence, OH","159 USD, 1 399 USD"
TWIN CITIES JAZZ FESTIVAL 2026,"June 19- 20, 2026","Saint Paul, MN","Gratuit, 45 USD"
AFRICA OYÉ 2026,"June 20- 21, 2026","Liverpool, England","Gratuit, Gratuit"
BAREFOOT COUNTRY 2026,"June 18- 21, 2026","Wildwood, NJ","199 USD, 1299 USD"
BOONERANG 2026,"June 18- 21, 2026","Boone, NC","59 AUD, 259 AUD"
COPENHELL 2026,"June 18- 21, 2026","Copenhagen, Denmark","2 945 DKK, 6 945 DKK"
GRASPOP METAL MEETING 2026,"June 18- 21, 2026","Dessel, Belgium","279 EUR, 329 EUR"
GREEN RIVER MUSIC FESTIVAL 2026,"June 19- 21, 2026","Greenfield, MA","59 USD, 349 USD"
HELLFEST 2026,"June 18- 21, 2026","Clisson, France","339 EUR, 369 EUR"
HIVE FESTIVAL 2026,"June 19- 21, 2026","Ferropolis, Germany","150 CHF, 250 CHF"
HURRICANE FESTIVAL 2026,"June 19- 21, 2026","Scheessel, Germany","79 EUR, 259 EUR"
ISLE OF WIGHT FESTIVAL 2026,"June 18- 21, 2026","Isle of Wight, UK","GBP75, GBP295"
METRONOME FESTIVAL 2026,"June 19- 21, 2026","Prague, Czech","1 890 CZK, 3 490 CZK"
PARKLIFE FESTIVAL 2026,"June 20- 21, 2026","Manchester, UK","85 GBP, 285 GBP"
PINKPOP 2026,"June 19- 21, 2026","Landgraaf, Netherlands","95 EUR, 275 EUR"
SOUTHSIDE FESTIVAL 2026,"June 19- 21, 2026","Neuhausen Ob Eck, Germany","99 EUR, 279 EUR"
TELLURIDE BLUEGRASS FESTIVAL 2026,"June 18- 21, 2026","Telluride, CO","335 USD, 335 USD"
WAKING LIFE FESTIVAL 2026,"June 16- 23, 2026","Crato, Portugal","170 EUR, 360 EUR"
INMUSIC FESTIVAL 2026,"June 22- 24, 2026","Zagreb, Croatia","90 EUR, 250 EUR"
BIG SOUND FESTIVAL 2026,"June 26- 27, 2026","Valencia, Spain","89 PLN, 549 PLN"
HOOFBEAT COUNTRY FEST 2026,"June 25- 27, 2026","Cadott, WI","129 USD, 249 USD"
PROVINSSI 2026,"June 25- 27, 2026","Seinajoki, Finland","119 EUR, 259 EUR"
ROCHESTER JAZZ FESTIVAL 2026,"June 19- 27, 2026","Rochester, NY","30 USD, 214 USD"
SUMMERSIDE FESTIVAL 2026,"June 25- 27, 2026","Grenchen, Swizterland","N/A, N/A"
TINDERBOX 2026,"June 25- 27, 2026","Odense, Denmark","2 495 DKK, 3 495 DKK"
TONS OF ROCK 2026,"June 24- 27, 2026","Oslo, Norway","2 990 NOK, 7 790 NOK"
VAINSTREAM FESTIVAL 2026,"June 26- 27, 2026","Munster, Germany","79 EUR, 99 EUR"
BEYOND WONDERLAND AT THE GORGE 2026,"June 27- 28, 2026","George, WA","189 USD, 399 USD"
JERA ON AIR 2026,"June 26- 28, 2026","Ysselsteyn, Netherlands","85 EUR, 150 EUR"
ROCK IN RIO LISBON 2026,"June 20- 28, 2026","Lisbon, Portugal","84 EUR, 214 EUR"
SUNRISE FESTIVAL 2026,"June 26- 28, 2026","Lille, Belgium","179 PLN, 999 PLN"
THE CAPITOL GROOVE 2026,"June 27- 28, 2026","Hartford, CT","79 USD, 159 USD"
PLAYTIME FESTIVAL 2026,"July 2- 4, 2026","Ulaanbaatar, Mongolia","50 USD, 100 USD"
RESURRECTION FEST 2026,"July 1- 4, 2026","Vivero, Spain","69 EUR, 209 EUR"
DANUBE ISLAND FESTIVAL 2026,"July 3- 5, 2026","Vienna, Austria","Gratuit, Gratuit"
ROCK FEST BARCELONA 2026,"July 3- 5, 2026","Barcelona, Spain","49 EUR, 210 EUR"
WESTIVAL 2026,"July 2- 5, 2026","Tenby, Wales","N/A, N/A"
HOSPITALITY ON THE BEACH 2026,"July 1- 6, 2026","Tisno, Croatia","160 GBP, 280 GBP"
AIRBEAT ONE 2026,"July 9- 12, 2026","Neustadt-Glewe, Germany","149 EUR, 209 EUR"
CACTUS FESTIVAL 2026,"July 10- 12, 2026","Brugge, Belgium","75 EUR, 115 EUR"
LOLLAPALOOZA BERLIN 2026,"July 18- 19, 2026","Berlin, Germany","89 EUR, 229 EUR"
SHAMBHALA MUSIC FESTIVAL 2026,"July 24- 27, 2026","Salmo, BC","525 CAD, 750 CAD"
WORLD PRIDE MUSIC FESTIVAL AMSTERDAM 2026,"July 31- August 1, 2026","Amsterdam, Netherlands","N/A, N/A"
JUST SO FESTIVAL 2026,"August 21- 23, 2026","Cheshire, UK","220 GBP, 825 GBP"
MYSTIC GARDEN FESTIVAL 2026,"August 21- 23, 2026","Amsterdam, Netherlands","79,50 EUR, 225 EUR"
